순위,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%,Season,Category
1,이병규,LG,중견수,133,131,1149 1/3,7,0,307,8,3,0.978,0,0,0,-,2001,defense
2,류지현,LG,유격수,129,125,1074,13,0,189,402,74,0.978,0,0,0,-,2001,defense
2,최태원,SK,2루수,129,105,913 1/3,5,0,198,326,76,0.991,0,0,0,-,2001,defense
4,최기문,롯데,포수,126,124,962,8,3,659,73,11,0.989,6,76,45,37.2,2001,defense
4,김상훈,KIA,포수,126,122,1017,8,0,671,63,10,0.989,8,85,40,32.0,2001,defense
6,데이비스,한화,중견수,124,124,1069 2/3,6,0,257,9,5,0.978,0,0,0,-,2001,defense
6,마르티네스,삼성,중견수,124,121,1069 1/3,5,0,285,10,1,0.983,0,0,0,-,2001,defense
8,퀸란,현대,3루수,123,123,1061 2/3,13,0,98,239,26,0.963,0,0,0,-,2001,defense
9,박종호,현대,2루수,122,118,1000,15,0,266,351,79,0.976,0,0,0,-,2001,defense
9,홍성흔,두산,포수,122,111,968 1/3,9,1,706,70,9,0.989,11,87,48,35.6,2001,defense
11,박진만,현대,유격수,121,117,1015 1/3,25,0,195,375,90,0.958,0,0,0,-,2001,defense
11,전준호,현대,좌익수,121,109,886 2/3,3,0,180,8,1,0.984,0,0,0,-,2001,defense
13,정수근,두산,중견수,120,114,993 1/3,6,0,242,11,2,0.977,0,0,0,-,2001,defense
14,박한이,삼성,우익수,118,108,908 2/3,2,0,196,9,4,0.990,0,0,0,-,2001,defense
15,김한수,삼성,3루수,117,115,998,10,0,87,193,14,0.966,0,0,0,-,2001,defense
16,박경완,현대,포수,115,112,936,9,2,638,87,16,0.988,2,65,56,46.3,2001,defense
16,서용빈,LG,1루수,115,101,859 1/3,3,0,898,67,93,0.997,0,0,0,-,2001,defense
18,장종훈,한화,1루수,113,98,872 1/3,3,0,889,57,91,0.997,0,0,0,-,2001,defense
18,브리또,SK,유격수,113,113,966 2/3,22,0,161,325,71,0.957,0,0,0,-,2001,defense
20,이승엽,삼성,1루수,112,111,983 1/3,4,0,996,67,84,0.996,0,0,0,-,2001,defense
21,김재현,LG,좌익수,111,104,871,3,0,176,4,0,0.984,0,0,0,-,2001,defense
22,심재학,두산,우익수,110,108,884 1/3,6,0,177,5,1,0.968,0,0,0,-,2001,defense
22,강성우,SK,포수,110,88,632,6,1,488,43,7,0.989,9,62,23,27.1,2001,defense
22,안재만,SK,3루수,110,104,841 2/3,16,0,57,167,17,0.933,0,0,0,-,2001,defense
25,홍세완,KIA,유격수,109,109,914 2/3,11,0,175,291,70,0.977,0,0,0,-,2001,defense
26,김민호,두산,유격수,107,94,824,13,0,151,346,70,0.975,0,0,0,-,2001,defense
27,장원진,두산,좌익수,105,102,802 1/3,0,0,147,6,1,1.000,0,0,0,-,2001,defense
27,채종범,SK,우익수,105,96,837,2,0,196,4,0,0.990,0,0,0,-,2001,defense
29,강인권,한화,포수,104,80,646,8,0,459,30,3,0.984,3,66,14,17.5,2001,defense
30,박정태,롯데,2루수,102,97,713 1/3,11,0,200,266,62,0.977,0,0,0,-,2001,defense
1,박한이,삼성,중견수,133,132,1135 2/3,1,0,270,11,4,0.996,0,0,0,-,2002,defense
2,진갑용,삼성,포수,131,130,1130 2/3,11,2,972,92,12,0.990,12,71,50,41.3,2002,defense
2,김종국,KIA,2루수,131,129,1138 1/3,9,0,286,421,83,0.987,0,0,0,-,2002,defense
2,장성호,KIA,1루수,131,131,1152 1/3,7,0,1186,80,101,0.995,0,0,0,-,2002,defense
5,김민재,SK,유격수,129,127,1075,15,0,186,347,54,0.973,0,0,0,-,2002,defense
6,브리또,삼성,유격수,128,127,1072 2/3,22,0,181,308,59,0.957,0,0,0,-,2002,defense
6,이승엽,삼성,1루수,128,128,1145 2/3,4,0,1122,91,87,0.997,0,0,0,-,2002,defense
8,김한수,삼성,3루수,127,126,1115 1/3,11,0,94,236,20,0.968,0,0,0,-,2002,defense
9,홍성흔,두산,포수,125,125,1050,14,0,883,87,14,0.986,7,85,51,37.5,2002,defense
9,심정수,현대,우익수,125,125,1113 1/3,1,0,282,13,2,0.997,0,0,0,-,2002,defense
9,임수민,한화,2루수,125,109,931 2/3,6,0,178,311,47,0.988,0,0,0,-,2002,defense
9,페르난데스,SK,3루수,125,124,1025 1/3,24,0,100,227,17,0.932,0,0,0,-,2002,defense
13,송지만,한화,우익수,124,120,1031 1/3,6,0,237,9,4,0.976,0,0,0,-,2002,defense
14,안경현,두산,2루수,123,110,967 1/3,3,0,236,324,92,0.995,0,0,0,-,2002,defense
14,박진만,현대,유격수,123,120,1040 2/3,12,0,188,357,82,0.978,0,0,0,-,2002,defense
16,조인성,LG,포수,121,105,880,9,3,711,63,17,0.989,8,37,37,50.0,2002,defense
16,최기문,롯데,포수,121,112,889 2/3,11,0,603,45,5,0.983,8,83,23,21.7,2002,defense
18,권용관,LG,유격수,120,102,853,17,0,154,273,61,0.962,0,0,0,-,2002,defense
19,박정환,삼성,2루수,119,106,905 2/3,6,0,186,279,66,0.987,0,0,0,-,2002,defense
19,이종범,KIA,우익수,119,115,949,4,0,217,9,2,0.983,0,0,0,-,2002,defense
19,이호준,SK,1루수,119,115,982,10,0,997,79,70,0.991,0,0,0,-,2002,defense
22,최태원,SK,2루수,118,104,732,5,0,123,228,38,0.986,0,0,0,-,2002,defense
23,장원진,두산,1루수,117,92,859,4,0,912,41,82,0.996,0,0,0,-,2002,defense
23,정수근,두산,중견수,117,105,947 2/3,4,0,220,1,0,0.982,0,0,0,-,2002,defense
25,양준혁,삼성,우익수,116,114,778 1/3,3,0,140,7,3,0.980,0,0,0,-,2002,defense
25,박경완,현대,포수,116,94,841 2/3,2,5,687,53,12,0.997,8,59,31,34.4,2002,defense
27,이숭용,현대,1루수,115,107,905 1/3,5,0,894,72,85,0.995,0,0,0,-,2002,defense
