연도,삼성_총관중,삼성_평균,KIA_총관중,KIA_평균,롯데_총관중,롯데_평균,LG_총관중,LG_평균,두산_총관중,두산_평균,한화_총관중,한화_평균,SSG_총관중,SSG_평균,키움_총관중,키움_평균,NC_총관중,NC_평균,KT_총관중,KT_평균,현대_총관중,현대_평균,쌍방울_총관중,쌍방울_평균,계_총관중,계_평균
2023,845775,11912,717025,10099,891745,12216,1202637,16939,969562,13282,566785.0,7764.0,1068211.0,14633.0,583629.0,8220.0,557607.0,7854.0,697350.0,9553.0,,,,,8100326,11250
2022,674452,9367,604394,8394,631656,8773,930163,12919,644614,8953,358190.0,4975.0,981546.0,13633.0,349773.0,4858.0,369018.0,5125.0,532268.0,7393.0,,,,,6076074,8439
2021,278222,3864,104989,1458,138294,1921,116691,1621,98036,1362,103960.0,1444.0,118412.0,1645.0,67407.0,936.0,128289.0,1782.0,74189.0,1030.0,,,,,1228489,1706
2020,27819,386,21198,294,36717,510,41317,574,55047,765,19962.0,277.0,30608.0,425.0,27158.0,377.0,45992.0,639.0,22499.0,312.0,,,,,328317,456
2019,691681,9607,692163,9613,679208,9433,1000400,13894,983474,13659,555225.0,7711.0,982962.0,13652.0,453886.0,6304.0,710274.0,9865.0,536735.0,7455.0,,,,,7286008,10119
2018,752310,10449,861729,11968,901634,12523,1108677,15398,1112066,15445,734110.0,10196.0,1037211.0,14406.0,454574.0,6314.0,442872.0,6151.0,668559.0,9286.0,,,,,8073742,11214
2017,704857,9790,1024830,14234,1038492,14424,1134846,15762,1094829,15206,593251.0,8240.0,892541.0,12396.0,699380.0,9714.0,531121.0,7377.0,686541.0,9535.0,,,,,8400688,11668
2016,851417,11825,773499,10743,852639,11842,1157646,16078,1165020,16181,660472.0,9173.0,865194.0,12017.0,782121.0,10863.0,549125.0,7627.0,682444.0,9478.0,,,,,8339577,11583
2015,524971,7291,710141,9863,800962,11124,1053405,14630,1120381,15560,657385.0,9130.0,814349.0,11310.0,510802.0,7094.0,522669.0,7259.0,645465.0,8964.0,,,,,7360530,10223
2014,505045,7891,663430,10366,830820,12982,1167400,18241,1128298,17630,475126.0,7424.0,829822.0,12966.0,442941.0,6921.0,467033.0,7297.0,,,,,,,6509915,11302
2013,451483,7054,470526,7352,770731,12043,1289297,20145,1152615,18010,386893.0,6045.0,912042.0,14251.0,479619.0,7494.0,528739.0,8262.0,,,,,,,6441945,11184
2012,544859,8255,502016,7493,1368995,20742,1259480,18798,1291703,19571,519794.0,7758.0,1069929.0,16211.0,599381.0,8946.0,,,,,,,,,7156157,13451
2011,508645,7592,592653,8980,1358322,20273,1191715,18056,1253735,18712,464871.0,7044.0,998660.0,14905.0,441427.0,6688.0,,,,,,,,,6810028,12801
