Team,경기,승,패,무,타율,평균자책점,승률,Season,Period
NC 다이노스,144,83,55,6,0.291,4.58,0.601,2020,2020년대
두산 베어스,144,79,61,4,0.293,4.31,0.564,2020,2020년대
KT 위즈,144,81,62,1,0.284,4.54,0.566,2020,2020년대
LG 트윈스,144,79,61,4,0.277,4.37,0.564,2020,2020년대
키움 히어로즈,144,80,63,1,0.269,4.39,0.559,2020,2020년대
KIA 타이거즈,144,73,71,0,0.274,5.13,0.507,2020,2020년대
롯데 자이언츠,144,71,72,1,0.276,4.64,0.497,2020,2020년대
삼성 라이온즈,144,64,75,5,0.268,4.78,0.460,2020,2020년대
SK 와이번스,144,51,92,1,0.250,5.57,0.357,2020,2020년대
한화 이글스,144,46,95,3,0.245,5.28,0.326,2020,2020년대
KT 위즈,144,76,59,9,0.265,3.67,0.563,2021,2020년대
두산 베어스,144,71,65,8,0.268,4.26,0.522,2021,2020년대
삼성 라이온즈,144,76,59,9,0.267,4.30,0.563,2021,2020년대
LG 트윈스,144,72,58,14,0.250,3.57,0.554,2021,2020년대
키움 히어로즈,144,70,67,7,0.259,4.31,0.511,2021,2020년대
SSG 랜더스,144,66,64,14,0.261,4.82,0.508,2021,2020년대
NC 다이노스,144,67,68,9,0.261,4.54,0.496,2021,2020년대
롯데 자이언츠,144,65,71,8,0.278,5.37,0.478,2021,2020년대
KIA 타이거즈,144,58,76,10,0.248,4.89,0.433,2021,2020년대
한화 이글스,144,49,83,12,0.237,4.65,0.371,2021,2020년대
SSG 랜더스,144,88,52,4,0.254,3.87,0.629,2022,2020년대
키움 히어로즈,144,80,62,2,0.252,3.79,0.563,2022,2020년대
LG 트윈스,144,87,55,2,0.269,3.33,0.613,2022,2020년대
KT 위즈,144,80,62,2,0.254,3.51,0.563,2022,2020년대
KIA 타이거즈,144,70,73,1,0.272,4.20,0.490,2022,2020년대
NC 다이노스,144,67,74,3,0.257,3.90,0.475,2022,2020년대
삼성 라이온즈,144,66,76,2,0.270,4.29,0.465,2022,2020년대
롯데 자이언츠,144,64,76,4,0.267,4.45,0.457,2022,2020년대
두산 베어스,144,60,82,2,0.255,4.45,0.423,2022,2020년대
한화 이글스,144,46,96,2,0.245,4.83,0.324,2022,2020년대
LG 트윈스,144,86,56,2,0.279,3.67,0.606,2023,2020년대
KT 위즈,144,79,62,3,0.265,3.94,0.560,2023,2020년대
SSG 랜더스,144,76,65,3,0.260,4.37,0.539,2023,2020년대
NC 다이노스,144,75,67,2,0.270,3.83,0.528,2023,2020년대
두산 베어스,144,74,68,2,0.255,3.92,0.521,2023,2020년대
KIA 타이거즈,144,73,69,2,0.276,4.13,0.514,2023,2020년대
롯데 자이언츠,144,68,76,0,0.265,4.15,0.472,2023,2020년대
삼성 라이온즈,144,61,82,1,0.263,4.60,0.427,2023,2020년대
한화 이글스,144,58,80,6,0.241,4.38,0.420,2023,2020년대
키움 히어로즈,144,58,83,3,0.261,4.42,0.411,2023,2020년대
KIA 타이거즈,144,87,55,2,0.301,4.40,0.613,2024,2020년대
삼성 라이온즈,144,78,64,2,0.269,4.68,0.549,2024,2020년대
LG 트윈스,144,76,66,2,0.283,4.63,0.535,2024,2020년대
두산 베어스,144,74,68,2,0.276,4.82,0.521,2024,2020년대
KT 위즈,144,72,70,2,0.279,5.11,0.507,2024,2020년대
SSG 랜더스,144,72,70,2,0.273,5.25,0.507,2024,2020년대
롯데 자이언츠,144,66,74,4,0.285,5.05,0.471,2024,2020년대
한화 이글스,144,66,76,2,0.270,4.98,0.465,2024,2020년대
NC 다이노스,144,61,81,2,0.274,5.00,0.430,2024,2020년대
키움 히어로즈,144,58,86,0,0.264,5.16,0.403,2024,2020년대
