FA년도,구단명,선수명,세부 포지션,인정년수,구분,FA등급,플레이년도,Age,G,GS,GR,W,L,S,BLSV,HD,BLHD,IP,ER,H,2B,3B,HR,BB,HP,SO,WP,ERA,선발 이닝,구원 이닝,선발 WAR,구원 WAR,종합 WAR,연봉,비고1,비고2
2011,롯데,강영식,RP,12,자격유지,A,2010,29,63,0,63,3,3,2,,7,,52.2,26,50,,,6,24,1,58,5,4.44,,,,1.09,1.09,12000,고졸,
2012,롯데,강영식,RP,12,자격유지,A,2011,30,64,0,64,2,1,1,,16,,41,16,35,,,5,22,2,39,5,3.51,,,,1.26,1.26,30000,고졸,
2013,롯데,강영식,RP,12,자격유지,A,2012,31,55,0,55,2,0,0,0,10,0,41.2,18,41,,,2,19,0,49,2,3.89,,,,0.66,0.66,30000,고졸,
2014,롯데,강영식,RP,12,자격유지,A,2013,32,55,0,55,1,3,1,2,9,0,39.2,17,32,7,0,1,19,2,40,4,3.86,0,39.2,,0.49,0.49,30000,고졸,
2015,롯데,강영식,RP,,FA 1년차,,2014,33,52,0,52,2,5,0,4,14,0,47,25,46,8,1,4,24,2,42,4,4.79,0,47,,1.18,1.18,30000,,
2020,NC,강윤구,RP,8,신규,C,2019,29,67,0,67,3,3,0,1,15,0,56.1,28,55,4,4,4,24,4,49,2,4.47,0,56.1,,1.12,1.12,8500,고졸,
2021,NC,강윤구,RP,8,신규,C,2020,30,30,0,30,1,1,0,0,3,1,21,16,31,7,0,3,11,0,15,2,6.86,0,21,,0.06,0.06,15500,고졸,
2022,롯데,강윤구,RP,8,신규,C,2021,31,22,1,21,0,1,0,1,3,0,,15,21,4,0,3,14,1,15,0,8.44,2,14,-0.14,-0.18,-0.32,10000,고졸,
2023,롯데,강윤구,RP,8,신규,C,2022,32,29,0,29,0,0,0,0,0,1,21.1,13,25,6,1,0,6,1,27,0,5.48,0,21.1,,-0.01,-0.01,7300,고졸,
2024,은퇴,강윤구,,,,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,은퇴,
2017,KIA,고효준,RP,9,신규,A,2016,33,24,6,18,0,2,0,0,2,0,,31,54,12,1,6,29,2,52,3,6.07,26.1,19.2,-0.39,-0.17,-0.56,8000,고졸,
2018,KIA,고효준,RP,9,신규,A,2017,34,40,1,39,3,1,0,0,4,1,40,19,44,7,1,1,22,5,35,2,4.27,4.2,35.1,0.08,1,1.08,8000,고졸,
2019,롯데,고효준,RP,9,신규,A,2018,35,43,0,43,2,3,0,0,7,0,32.1,25,33,8,1,3,23,0,39,5,6.96,0,32.1,,0.05,0.05,10000,고졸,
2020,롯데,고효준,RP,9,신규,A,2019,36,75,0,75,2,7,0,4,15,0,62.1,33,58,13,1,6,36,3,72,11,4.76,0,62.1,,0.44,0.44,9000,고졸,
2021,롯데,고효준,RP,,FA 1년차,,2020,37,24,0,24,1,0,0,0,0,0,15.2,10,14,3,0,3,11,3,11,1,5.74,0,15.2,,0.01,0.01,10000,,
2015,삼성,권오준,RP,9,신규,A,2014,34,1,0,1,0,0,0,0,0,0,1,2,3,2,0,0,0,0,0,0,18,0,1,,-0.12,-0.12,12000,고졸,
2016,삼성,권오준,RP,9,신규,A,2015,35,30,0,30,0,0,0,0,0,1,28,25,33,9,0,5,9,5,24,2,8.04,0,28,,-0.28,-0.28,7000,고졸,
2017,삼성,권오준,RP,9,신규,A,2016,36,41,0,41,1,3,0,1,7,0,46.1,20,48,5,2,9,11,3,35,1,3.88,0,46.1,,1.26,1.26,7000,고졸,
2018,삼성,권오준,RP,9,신규,A,2017,37,45,0,45,1,2,0,1,1,2,56,32,57,12,0,11,14,4,55,2,5.14,0,56,,0.66,0.66,10500,고졸,
2019,삼성,권오준,RP,,FA 1년차,,2018,38,47,0,47,3,1,1,0,2,2,43.1,19,43,7,0,7,12,3,52,2,3.95,0,43.1,,0.81,0.81,15000,,
2012,삼성,권혁,RP,9,신규,A,2011,28,58,0,58,1,3,0,,19,,48.1,15,38,,,2,22,2,27,2,2.79,,,,1.27,1.27,19000,고졸,
2013,삼성,권혁,RP,9,신규,A,2012,29,64,0,64,2,3,1,0,18,0,49.1,17,48,,,2,20,1,38,2,3.1,,,,1.2,1.2,22000,고졸,
2014,삼성,권혁,RP,9,신규,A,2013,30,52,0,52,0,1,0,0,3,0,36.1,16,35,5,1,5,16,1,41,1,3.96,0,36.1,,0.43,0.43,26000,고졸,
2015,삼성,권혁,RP,9,신규,A,2014,31,38,0,38,3,2,0,1,1,0,34.2,11,27,7,0,4,11,0,38,1,2.86,0,34.2,,1.01,1.01,26000,고졸,
2016,한화,권혁,CP,,FA 1년차,,2015,32,78,0,78,9,13,17,8,6,0,112,62,124,21,1,15,53,5,88,5,4.98,0,112,,1.15,1.15,45000,,
2016,넥센,금민철,SP,9,신규,A,2015,29,7,5,2,1,1,0,0,0,0,22,11,25,4,0,2,14,2,11,0,4.5,19.1,2.2,0.69,0.08,0.76,8800,고졸,
2017,넥센,금민철,RP,9,신규,A,2016,30,14,2,12,1,1,0,0,0,0,26.1,15,36,4,1,2,9,1,16,2,5.13,5.1,21,-0.23,0.36,0.13,7900,고졸,
2018,넥센,금민철,RP,9,신규,A,2017,31,36,7,29,4,4,0,0,3,0,54,38,81,14,1,3,33,3,42,2,6.33,24,30,0.1,0.34,0.44,7300,고졸,
2019,KT,금민철,SP,9,신규,A,2018,32,29,29,0,8,12,0,0,0,0,156.1,94,212,30,1,19,68,7,79,10,5.41,156.1,0,2.5,,2.5,8000,고졸,
2020,KT,금민철,SP,,FA 1년차,,2019,33,14,14,0,1,4,0,0,0,0,57,32,66,7,1,5,25,7,26,4,5.05,57,0,0.4,,0.4,15000,,
2014,SK,김광현,SP,9,신규,A,2013,25,25,22,3,10,9,0,1,0,0,133,66,128,31,3,12,68,4,102,9,4.47,127.2,5.1,1.76,0.03,1.79,24000,고졸,
2015,SK,김광현,SP,9,신규,A,2014,26,28,28,0,13,9,0,0,0,0,173.2,66,178,36,4,10,81,3,145,9,3.42,173.2,0,6.55,,6.55,27000,고졸,
2016,SK,김광현,SP,9,신규,A,2015,27,30,29,1,14,6,0,0,1,0,176.2,73,173,33,0,19,66,3,160,10,3.72,176.1,0.1,5.14,0.03,5.18,60000,고졸,
2017,SK,김광현,SP,9,신규,A,2016,28,27,21,6,11,8,0,0,1,1,137,59,139,21,2,17,41,6,116,3,3.88,126.2,10.1,3.9,0.22,4.12,85000,고졸,
2018,미국,김광현,,,FA 1년차,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,미국,
2021,삼성,김대우,RP,8,자격유지,C,2020,32,28,9,19,3,7,0,0,1,1,77.2,44,95,17,1,9,26,6,37,1,5.1,41,36.2,0.71,0.55,1.26,11500,신규 35세 23년 C등급,
2022,삼성,김대우,RP,8,자격유지,C,2021,33,31,4,27,0,2,0,0,1,0,51,36,68,18,0,7,15,2,27,1,6.35,15,36,-0.23,0.36,0.13,15500,신규 35세 23년 C등급,
2023,삼성,김대우,RP,8,자격유지,C,2022,34,4,0,4,1,0,0,0,0,1,4.1,1,4,0,0,0,0,0,5,0,2.08,0,4.1,,0.16,0.16,12000,신규 35세 23년 C등급,
2024,삼성,김대우,RP,8,자격유지,C,2023,35,44,5,39,0,2,0,0,4,3,64,32,66,9,1,7,22,3,49,1,4.5,21,43,0.2,0.2,0.39,7000,신규 35세 23년 C등급,
2025,삼성,김대우,RP,,FA 1년차,,2024,36,32,1,31,0,0,0,0,5,0,34.1,21,42,9,0,4,9,3,23,1,5.5,2.1,32,-0.03,0.34,0.31,10000,,
2012,롯데,김사율,CP,9,신규,A,2011,31,61,0,61,5,3,20,0,2,0,66.1,24,60,,,4,22,2,54,7,3.26,,,,1.92,1.92,6000,고졸,
2013,롯데,김사율,CP,9,신규,A,2012,32,50,0,50,2,3,34,0,1,0,45.1,15,45,,,4,11,2,43,6,2.98,,,,1.22,1.22,13000,고졸,
2014,롯데,김사율,CP,9,신규,A,2013,33,35,8,27,3,7,1,3,3,0,74.1,33,74,13,1,11,34,2,47,6,4,38.2,35.2,0.76,0.71,1.47,19000,고졸,
2015,롯데,김사율,RP,9,신규,A,2014,34,33,7,26,2,5,0,0,2,1,79.1,51,95,17,2,13,30,3,71,8,5.79,35,44.1,0.51,0.35,0.86,15000,고졸,
2016,KT,김사율,RP,,FA 1년차,,2015,35,21,0,21,0,0,0,0,0,0,25.2,23,40,13,2,4,11,2,24,3,8.06,0,25.2,,-0.63,-0.63,20000,,
2018,넥센,김상수,CP,9,신규,A,2017,29,60,0,60,0,7,15,6,9,3,61.1,26,59,9,0,8,22,3,62,5,3.82,0,61.1,,1.6,1.6,12000,고졸,
2019,넥센,김상수,CP,9,신규,A,2018,30,58,0,58,2,3,18,7,14,0,55.2,32,53,10,0,9,23,1,68,6,5.17,0,55.2,,0.58,0.58,16500,고졸,
2020,키움,김상수,RP,9,신규,A,2019,31,67,0,67,3,5,0,1,40,0,56.2,19,50,6,0,3,28,2,60,0,3.02,0,56.2,,1.69,1.69,20000,고졸,
2021,키움,김상수,RP,9,신규,A,2020,32,60,0,60,3,3,5,3,11,0,51.1,27,52,12,0,3,21,3,48,1,4.73,0,51.1,,0.48,0.48,30000,고졸,
2022,SSG,김상수,CP,,FA 1년차,,2021,33,50,0,50,4,3,6,3,5,0,58.1,33,71,8,0,10,30,1,44,2,5.09,0,58.1,,0.83,0.83,30000,,
2015,롯데,김승회,CP,-1,자격유지,A,2014,33,54,0,54,1,2,20,3,4,0,56,19,47,12,2,4,18,3,40,1,3.05,0,56,,2.35,2.35,12000,고졸,
2016,롯데,김승회,RP,-1,자격유지,A,2015,34,39,7,32,7,3,2,1,2,1,75,52,96,17,1,13,28,4,50,2,6.24,33.2,41.1,0.81,-0.04,0.77,19000,고졸,
2017,SK,김승회,RP,-1,자격유지,A,2016,35,23,0,23,1,1,0,1,4,0,24.1,16,29,4,1,4,9,0,19,2,5.92,0,24.1,,-0.04,-0.04,22000,고졸,
2018,두산,김승회,RP,-1,자격유지,A,2017,36,69,0,69,7,4,0,0,11,2,69,38,86,17,3,6,17,6,41,3,4.96,0,69,,0.9,0.9,10000,고졸,
2019,두산,김승회,RP,,FA 1년차,,2018,37,55,0,55,3,4,3,2,11,0,54.2,21,54,11,0,6,23,5,34,3,3.46,0,54.2,,1.17,1.17,10000,,
2021,KT,김재윤,CP,8,신규,B,2020,30,56,0,56,5,3,21,7,1,0,60.2,22,62,4,2,7,15,0,58,0,3.26,0,60.2,,2.11,2.11,12000,고졸,
2022,KT,김재윤,CP,8,신규,B,2021,31,65,0,65,4,3,32,5,0,0,67,18,57,8,0,5,24,0,64,2,2.42,0,67,,2.69,2.69,17000,고졸,
2023,KT,김재윤,CP,8,신규,B,2022,32,61,0,61,9,7,33,6,0,0,66.1,24,46,6,0,5,21,0,78,2,3.26,0,66.1,,2.26,2.26,28000,고졸,
2024,KT,김재윤,CP,8,신규,B,2023,33,59,0,59,5,5,32,4,0,0,65.2,19,54,5,2,2,13,1,60,3,2.6,0,65.2,,2.8,2.8,36000,고졸,
2025,삼성,김재윤,RP,,FA 1년차,,2024,34,65,0,65,4,8,11,5,25,0,66,30,58,9,1,13,25,1,51,2,4.09,0,66,,1.42,1.42,40000,,
2020,NC,김진성,RP,8,신규,C,2019,34,42,0,42,1,2,0,2,5,0,42,20,39,10,1,6,15,2,35,6,4.29,0,42,,0.16,0.16,23000,35세 이상,
2021,NC,김진성,RP,8,신규,C,2020,35,48,0,48,3,0,0,1,6,0,47.1,14,41,8,2,4,10,0,56,2,2.66,0,47.1,,1.38,1.38,16000,35세 이상,
2022,NC,김진성,RP,8,신규,C,2021,36,42,0,42,2,4,1,2,9,4,37.2,30,43,10,0,7,18,1,37,2,7.17,0,37.2,,-0.97,-0.97,20000,35세 이상,
2023,LG,김진성,RP,8,신규,C,2022,37,67,0,67,6,3,0,2,12,0,58,20,44,6,1,6,22,1,54,2,3.1,0,58,,1.49,1.49,10000,35세 이상,
2024,LG,김진성,RP,,FA 1년차,,2023,38,80,0,80,5,1,4,2,21,2,70.1,17,41,5,1,8,26,0,69,0,2.18,0,70.1,,2.41,2.41,20000,,
2016,두산,노경은,CP,9,신규,A,2015,31,47,0,47,1,4,4,3,0,0,58.1,29,57,12,1,6,37,5,41,8,4.47,0,58.1,,0.27,0.27,20000,고졸,
2017,롯데,노경은,SP,9,신규,A,2016,32,22,20,2,3,12,0,1,0,0,94.2,72,128,25,5,13,48,5,52,10,6.84,92.1,2.1,1.1,-0.35,0.75,20000,고졸,
2018,롯데,노경은,RP,9,신규,A,2017,33,9,2,7,0,2,0,0,0,0,14.2,19,25,5,0,4,8,1,8,1,11.66,7,7.2,0.03,-0.6,-0.57,16000,고졸,
