Year,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR,종합 이닝,RPW,선발 RAA,구원 RAA,종합 RAA,선발 대체 RUN,구원 대체 RUN,종합 대체 RUN,선발 RAR,구원 RAR,종합 RAR,선발 WAA,구원 WAA,종합 WAA,선발 WAR,구원 WAR,종합 WAR,연봉,WAR당 연봉
2009,1064,1064,3325,1064,20,9,522,522,245,315,9447.2,5048,5492,5492,41864,9938,,,1155,4290,564,164,6939,,23,424,4.81,5.23,5.23,4.74,1.51,158.4,9447.2,2564.09,-126.82,129.48,0,983.96,535.17,1519.89,857.14,664.65,1519.89,-1.85,20.71,18.86,88.49,69.84,158.4,1366500,3860184
2010,1064,1064,3496,1064,27,12,522,522,227,342,9492.1,4847,5301,5301,41597,9681,,,990,4045,616,161,7025,,28,506,4.6,5.03,5.03,4.55,1.45,159.16,9492.1,2514.93,-71.13,75.92,0,950.27,516.56,1466.9,879.14,592.48,1466.9,4.34,16.43,20.77,93.99,65.16,159.16,1368830,2493461
2011,1064,1064,3361,1064,23,11,522,522,261,417,9468,4374,4822,4822,41068,9409,,,770,3936,514,130,7004,,33,503,4.16,4.58,4.58,4.11,1.41,149.31,9468,2310.71,-161.53,164.42,0,927.65,416.87,1344.55,766.12,581.29,1344.55,-9.42,24.63,15.21,83.1,66.21,149.31,1446600,14256211
2012,1064,1064,3272,1064,33,11,517,517,283,435,9498,4036,4380,4380,40527,9072,,,615,3698,498,140,6672,,32,460,3.82,4.15,4.15,3.79,1.34,149.35,9498,2235.8,-14.91,24.37,0,900.71,336.41,1237.12,885.79,360.78,1237.12,5.86,13.47,19.33,100.52,48.83,149.35,1635600,-1568589596
2013,1152,1152,3671,1152,21,6,565,565,302,464,10282,4935,5353,5353,44893,10411,,,798,4351,703,129,7785,,40,530,4.32,4.69,4.69,4.29,1.44,162.16,10282,2566.25,124.32,-125.61,-1.29,1045.78,283.98,1329.76,1170.1,158.37,1328.47,17.21,11.31,28.53,122.31,39.85,162.16,1732400,-5985343
2014,1152,1152,3782,1152,19,5,569,569,261,483,10191,5904,6477,6477,45853,11533,,,1162,4351,617,104,7657,,23,545,5.21,5.72,5.72,5.13,1.56,177.32,10191,2446.34,166.42,-168.43,-2.01,,0,0,,-5.95,9.61,19.43,-4.85,14.58,126.89,50.43,177.32,2523700,6158412
2015,1440,1440,4788,1440,27,12,715,715,285,507,12787.2,6924,7597,7598,56742,13804,,,1511,5254,871,211,10553,,47,754,4.87,5.35,5.35,4.82,1.49,221.17,12787.2,2825.43,217.86,-221.42,-3.56,,0,0,,-1.03,19.33,26.32,-8.6,17.73,158.1,63.07,221.17,3732600,32879198
2016,1440,1440,4973,1440,18,7,713,713,325,589,12806.1,7357,8074,8074,57614,14560,,,1483,5373,800,140,9743,,57,701,5.17,5.67,5.67,5.13,1.56,217.41,12806.1,2998.92,76.52,-79.65,-3.13,0,,0,-2.26,,16.91,14.46,-0.4,14.07,144.82,72.59,217.41,4552900,-37128848
2017,1440,1440,4591,1440,24,9,709,709,321,522,12781,7056,7682,7682,56882,14397,,,1547,4520,953,185,10009,,45,709,4.97,5.41,5.41,4.91,1.48,218.58,12781,2742.83,259.72,-259.39,0.33,,,,,,20.01,28.99,-15.02,13.97,165.79,52.79,218.58,4653000,-38178004
2018,1440,1440,4817,1440,17,4,714,714,304,555,12766,7337,7994,7994,56903,14445,,,1756,4622,860,170,10688,,41,673,5.17,5.64,5.64,5.12,1.49,217.74,12766,3019.43,169.59,-169.44,0.15,,0,0,,-4.53,14.78,19.67,-6,13.67,155.07,62.67,217.74,4847500,-598648242
2019,1440,1440,4775,1440,23,12,713,713,349,655,12778.2,5914,6548,6548,55627,13145,,,1014,4749,711,147,9595,,39,594,4.17,4.61,4.61,4.12,1.4,223.23,12778.2,2639.59,129.83,-132.11,-2.28,,0,0,,-2.85,19.78,18.78,-0.56,18.22,157.31,65.93,223.23,4331800,575263
2020,1440,1440,5417,1440,10,5,707,707,282,677,12789.2,6759,7436,7436,56643,13547,,,1363,5314,716,163,9855,,46,649,4.76,5.23,5.23,4.71,1.47,225.69,12789.2,3155.8,314.04,-315.21,-1.16,,0,0,,-6.83,14.39,35.91,-14.29,21.61,170.08,55.61,225.69,4024600,1031180
2021,1440,1438,5317,1440,13,7,670,670,321,720,12660,6243,6896,6896,56076,12566,,,1158,5891,792,180,10196,,62,601,4.44,4.9,4.9,4.35,1.46,225.82,12660,3291.41,195.79,-194.8,0.99,,,,,,22.35,27.2,-2.56,24.64,156.7,69.11,225.82,3685100,3778118
2022,1440,1440,5279,1440,6,3,708,708,361,741,12854.2,5796,6523,6523,55963,12801,,,1085,4930,721,208,10469,,26,607,4.06,4.57,4.57,4.05,1.38,225.27,12854.2,2849.63,324.79,-324.4,0.39,,0,0,,-2.52,20.66,39.64,-19.89,19.76,176.1,49.17,225.27,5358840,1548312
2023,1440,1440,5405,1440,5,0,708,708,355,728,12834.1,5905,6622,6622,56231,12969,,,924,5140,696,175,9970,,45,595,4.14,4.64,4.64,4.11,1.41,221.34,12834.1,2972.94,245.37,-247.43,-2.06,,0,0,,-2.53,20,31.55,-14.49,17.06,164.19,57.15,221.34,4860460,1170912
2024,1440,1440,5622,1440,10,4,710,710,322,726,12789,6972,7740,7740,57265,13929,,,1438,5265,783,150,10826,,42,616,4.91,5.45,5.45,4.79,1.5,224.5,12789,3308.15,351.16,-351.81,-0.68,,0,0,,-0.74,19.9,38.17,-16.19,21.99,166.16,58.35,224.5,4942600,985959
