Name,Year,PA,wRC+
,,,
강민호,2005,230,56.5
강민호,2006,460,84.8
강민호,2007,474,110.5
강민호,2008,501,134.5
강민호,2009,301,91
강민호,2010,465,134.4
강민호,2011,506,130.3
강민호,2012,454,132.9
강민호,2013,405,99.2
강민호,2014,360,85
강민호,2015,456,163
강민호,2016,460,142.2
강민호,2017,515,107.3
강민호,2018,477,84
강민호,2019,393,91.6
강민호,2020,393,106.8
강민호,2021,462,122.4
강민호,2022,444,102
강민호,2023,495,123.5
강민호,2024,452,115.6
강민호,2025,134,106.3
강한울,2014,224,51
강한울,2015,292,19.1
강한울,2016,322,57.8
강한울,2017,448,71.4
강한울,2018,209,49.7
강한울,2020,122,93.7
강한울,2021,258,71.3
강한울,2022,252,115.3
강한울,2023,240,48.9
강한울,2024,25,-81.5
고영민,2002,10,-97.1
고영민,2003,13,-0.5
고영민,2005,18,-68.5
고영민,2006,359,104.4
고영민,2007,536,122.7
고영민,2008,528,120
고영민,2009,331,69.7
고영민,2010,344,55.8
고영민,2011,208,54.7
고영민,2012,173,112.7
고영민,2013,17,139.3
고영민,2014,108,80.1
고영민,2015,77,137.9
고영민,2016,5,142.8
고종욱,2011,111,77.3
고종욱,2014,14,-68.1
고종욱,2015,443,102.4
고종욱,2016,566,104.7
고종욱,2017,453,102
고종욱,2018,351,71.8
고종욱,2019,513,108.2
고종욱,2020,288,75
고종욱,2021,199,73
고종욱,2022,114,108.5
고종욱,2023,286,99.6
고종욱,2024,36,92
권용관,1996,37,-25.1
권용관,1997,60,36.5
권용관,2001,212,61.9
권용관,2002,327,39.6
권용관,2003,232,7
권용관,2004,341,65.2
권용관,2005,215,76.3
권용관,2006,240,63.7
권용관,2007,398,69.6
권용관,2008,230,37.7
권용관,2009,431,61.6
권용관,2010,180,62.4
권용관,2011,68,71.8
권용관,2012,5,-11.9
권용관,2013,122,107.8
권용관,2014,21,-41.8
권용관,2015,341,44
권용관,2016,49,63.6
권희동,2013,397,66
권희동,2014,252,98.1
권희동,2016,47,84.7
권희동,2017,554,113.1
권희동,2018,391,94.8
권희동,2019,413,99.8
권희동,2020,426,110.1
권희동,2021,171,143.5
권희동,2022,280,89
권희동,2023,373,128.2
권희동,2024,511,137.9
권희동,2025,120,155.3
김강민,2003,4,211.4
김강민,2004,29,13.4
김강민,2005,48,54.9
김강민,2006,166,112.5
김강민,2007,374,73.7
김강민,2008,295,109.5
김강민,2009,382,85.9
김강민,2010,450,124.5
김강민,2011,310,104.5
김강민,2012,474,94.8
김강민,2013,397,121.5
김강민,2014,483,111.8
김강민,2015,328,66.9
김강민,2016,422,101.5
김강민,2017,203,57.5
김강민,2018,267,124.4
김강민,2019,460,87.3
김강민,2020,327,91.2
김강민,2021,260,96.1
김강민,2022,202,129.1
김강민,2023,166,78.3
김강민,2024,87,58.8
김경언,2001,109,99.3
김경언,2002,323,111.6
김경언,2003,388,87.6
김경언,2004,220,74.4
김경언,2005,202,93.7
김경언,2006,114,32.1
김경언,2008,20,-18.7
김경언,2009,2,200.7
김경언,2010,184,89
김경언,2011,204,84.2
김경언,2012,313,105.5
김경언,2013,249,104.1
김경언,2014,355,118
김경언,2015,437,140.4
김경언,2016,217,90.8
김경언,2017,118,95.2
김민성,2007,1,-178.7
김민성,2008,28,8.5
김민성,2009,389,82.4
김민성,2010,223,41.7
김민성,2011,373,66.1
김민성,2012,254,106.2
김민성,2013,523,109.5
김민성,2014,486,89
김민성,2015,489,104.4
김민성,2016,579,111.6
김민성,2017,530,95.6
김민성,2018,465,94
김민성,2019,401,97.6
김민성,2020,333,90.8
김민성,2021,426,83.9
김민성,2022,157,59.4
김민성,2023,316,100.7
김민성,2024,84,79.9
김민성,2025,86,76.7
김민식,2015,26,-4.5
김민식,2016,170,84.3
김민식,2017,392,43.1
김민식,2018,365,75.9
김민식,2019,116,41.2
김민식,2020,238,63.8
김민식,2021,301,76.5
김민식,2022,266,75.5
김민식,2023,318,70.5
김민식,2024,126,56.5
김상수,2009,267,63.6
김상수,2010,338,71.8
김상수,2011,476,103.5
김상수,2012,489,103
김상수,2013,422,110.2
김상수,2014,493,93.9
김상수,2015,518,94.4
