연도,구단명,선수명,포지션,인정년수,구분,비고,FA 등급
2013,삼성,정현욱,투수,9,신규,고졸,
2013,SK,이호준,내야수,4,재자격,고졸,
2013,SK,권용관,내야수,9,자격유지,고졸,
2013,SK,이호준,내야수,4,재자격,고졸,
2013,롯데,홍성흔,내야수,4,재자격,고졸,
2013,롯데,김주찬,외야수,9,신규,고졸,
2013,롯데,강영식,투수,11,자격유지,고졸,
2013,KIA,유동훈,투수,8,신규,대졸,
2013,KIA,이현곤,내야수,8,신규,대졸,
2013,KIA,김원섭,외야수,8,신규,대졸,
2013,LG,정성훈,내야수,4,재자격,고졸,
2013,LG,이대진,투수,10,자격유지,고졸,
2013,LG,손인호,외야수,8,자격유지,대졸,
2013,LG,김일경,내야수,9,신규,고졸,
2013,LG,이진영,외야수,4,재자격,고졸,
2013,한화,마일영,투수,9,신규,고졸,
2013,넥센,김수경,투수,5,자격유지,고졸,
2013,넥센,강귀태,포수,9,자격유지,고졸,
2013,넥센,송지만,외야수,6,자격유지,고졸,
2013,넥센,강병식,외야수,8,자격유지,대졸,
2013,넥센,이정훈,투수,9,신규,고졸,
2014,한화,박정진,투수,8,신규,대졸,
2014,한화,이대수,내야수,9,신규,고졸,
2014,한화,한상훈,내야수,8,신규,대졸,
2014,삼성,박한이,외야수,4,재자격,고졸,
2014,삼성,오승환,투수,8,신규,대졸,
2014,삼성,장원삼,투수,8,신규,대졸,
2014,롯데,강민호,포수,9,신규,고졸,
2014,롯데,박기혁,내야수,9,자격유지,고졸,
2014,롯데,강영식,투수,12,자격유지,고졸,
2014,두산,손시헌,내야수,8,신규,대졸,
2014,두산,이종욱,외야수,8,신규,대졸,
2014,두산,최준석,내야수,9,신규,고졸,
2014,넥센,송지만,외야수,6,자격유지,고졸,
2014,SK,박경완,포수,4,자격유지,고졸,
2014,SK,정근우,내야수,8,신규,대졸,
2014,LG,권용관,내야수,10,자격유지,고졸,
2014,LG,김일경,내야수,9,자격유지,고졸,
2014,LG,이대형,외야수,9,신규,고졸,
2014,LG,이병규(9),외야수,4,재자격,고졸,
2014,KIA,윤석민,투수,9,신규,고졸,
2014,KIA,이용규,외야수,9,신규,고졸,
2015,삼성,윤성환,투수,8,신규,대졸,
2015,삼성,권혁,투수,9,신규,고졸,
2015,삼성,안지만,투수,9,신규,고졸,
2015,삼성,조동찬,내야수,9,신규,고졸,
2015,삼성,배영수,투수,4,재자격,고졸,
2015,넥센,이성열,외야수,9,신규,고졸,
2015,LG,박경수,내야수,9,신규,고졸,
2015,LG,박용택,외야수,4,재자격,고졸,
2015,SK,이재영,투수,8,신규,대졸,
2015,SK,김강민,외야수,9,신규,고졸,
2015,SK,나주환,내야수,9,신규,고졸,
2015,SK,조동화,외야수,9,신규,고졸,
2015,SK,박진만,내야수,4,재자격,고졸,
2015,SK,최정,내야수,9,신규,고졸,
2015,두산,이원석,내야수,9,신규,고졸,
2015,롯데,김사율,투수,9,신규,고졸,
2015,롯데,장원준,투수,9,신규,고졸,
2015,롯데,박기혁,내야수,9,자격유지,고졸,
2015,KIA,차일목,포수,8,신규,대졸,
2015,KIA,송은범,투수,9,신규,고졸,
2015,한화,김경언,외야수,9,신규,고졸,
2016,두산,오재원,내야수,8,신규,대졸,
2016,두산,고영민,내야수,9,신규,고졸,
2016,두산,김현수,외야수,9,신규,고졸,
2016,삼성,박석민,내야수,9,신규,고졸,
2016,삼성,이승엽,내야수,4,재자격,고졸,
2016,넥센,마정길,투수,8,신규,대졸,
2016,넥센,손승락,투수,8,신규,대졸,
2016,넥센,유한준,외야수,8,신규,대졸,
2016,넥센,이택근,외야수,4,재자격,고졸,
2016,SK,윤길현,투수,9,신규,고졸,
2016,SK,정우람,투수,9,신규,고졸,
2016,SK,채병용,투수,9,신규,고졸,
2016,SK,정상호,포수,9,신규,고졸,
2016,SK,박재상,외야수,9,신규,고졸,
2016,SK,박정권,외야수,8,신규,대졸,
2016,SK,박진만,내야수,5,자격유지,고졸,
2016,한화,조인성,포수,4,재자격,고졸,
2016,한화,김태균,내야수,4,재자격,고졸,
2016,KIA,이범호,내야수,4,재자격,고졸,
2016,롯데,송승준,투수,9,신규,고졸,
2016,롯데,심수창,투수,8,신규,대졸,
2016,LG,이동현,투수,9,신규,고졸,
2016,KT,장성호,내야수,4,재자격,고졸,
2016,KT,김상현,외야수,9,신규,고졸,
2017,두산,이현승,투수,8,신규,대졸,
2017,두산,김재호,내야수,9,신규,고졸,
2017,두산,이원석,내야수,9,자격유지,고졸,
2017,NC,용덕한,포수,8,신규,대졸,
2017,NC,이호준,내야수,4,재자격,고졸,
2017,NC,조영훈,내야수,8,신규,대졸,
2017,LG,봉중근,투수,9,신규,고졸,
2017,LG,우규민,투수,9,신규,고졸,
2017,LG,정성훈,내야수,4,재자격,고졸,
2017,KIA,양현종,투수,9,신규,고졸,
2017,KIA,나지완,외야수,8,신규,대졸,
2017,SK,김광현,투수,9,신규,고졸,
2017,SK,김승회,투수,8,신규,대졸,
2017,롯데,황재균,내야수,9,신규,고졸,
2017,롯데,이우민,외야수,9,신규,고졸,
2017,삼성,차우찬,투수,9,신규,고졸,
2017,삼성,최형우,외야수,9,신규,고졸,
2017,KT,이진영,외야수,4,재자격,고졸,
2018,KIA,임창용,투수,4,재자격,고졸,
2018,KIA,김주찬,외야수,4,재자격,고졸,
2018,두산,김성배,투수,8,신규,대졸,
2018,두산,김승회,투수,-1,자격유지,고졸,
2018,두산,민병헌,외야수,9,신규,고졸,
2018,롯데,강민호,포수,4,재자격,고졸,
2018,롯데,문규현,내야수,9,신규,고졸,
2018,롯데,최준석,내야수,4,재자격,고졸,
2018,롯데,손아섭,외야수,9,신규,고졸,
2018,롯데,이우민,외야수,-1,자격유지,고졸,
2018,NC,손시헌,내야수,4,재자격,고졸,
2018,NC,지석훈,내야수,9,신규,고졸,
2018,NC,이종욱,외야수,4,재자격,고졸,
2018,NC,이호준,외야수,-1,자격유지,고졸,
2018,SK,정의윤,외야수,9,신규,고졸,
2018,넥센,채태인,내야수,9,신규,고졸,
2018,한화,박정진,투수,4,재자격,고졸,
2018,한화,안영명,투수,9,신규,고졸,
2018,한화,정근우,내야수,4,재자격,고졸,
2018,한화,이용규,외야수,4,재자격,고졸,
2018,삼성,권오준,투수,9,신규,고졸,
2018,KT,이대형,외야수,4,재자격,고졸,
2019,SK,이재원,포수,9,신규,고졸,
2019,SK,최정,내야수,4,재자격,고졸,
2019,두산,장원준,투수,4,재자격,고졸,
2019,두산,양의지,포수,9,신규,고졸,
2019,한화,송광민,내야수,8,신규,대졸,
2019,한화,이용규,외야수,-1,자격유지,고졸,
2019,한화,최진행,외야수,9,신규,고졸,
2019,넥센,이보근,투수,9,신규,고졸,
2019,넥센,김민성,내야수,9,신규,고졸,
2019,KIA,임창용,투수,-1,자격유지,고졸,
2019,삼성,윤성환,투수,4,재자격,고졸,
2019,삼성,장원삼,투수,4,재자격,고졸,
2019,삼성,김상수,내야수,9,신규,고졸,
2019,삼성,손주인,내야수,9,신규,고졸,
2019,삼성,박한이,외야수,4,재자격,고졸,
2019,롯데,노경은,투수,9,신규,고졸,
2019,롯데,이명우,투수,9,신규,고졸,
2019,LG,박용택,외야수,4,재자격,고졸,
2019,KT,금민철,투수,9,신규,고졸,
2019,KT,박경수,내야수,4,재자격,고졸,
2019,KT,박기혁,내야수,4,재자격,고졸,
2019,NC,모창민,내야수,8,신규,대졸,
2020,두산,장원준,투수,4,자격유지,고졸,
2020,두산,오재원,내야수,4,재자격,대졸,
2020,키움,오주원,투수,9,신규,고졸,
2020,키움,이지영,포수,8,신규,대졸,
2020,SK,박정배,투수,8,신규,대졸,
2020,SK,나주환,내야수,4,재자격,고졸,
2020,SK,김강민,외야수,4,재자격,고졸,
2020,LG,진해수,투수,9,신규,고졸,
2020,LG,송은범,투수,4,재자격,고졸,
2020,LG,장원삼,투수,4,자격유지,고졸,
2020,LG,오지환,내야수,9,신규,고졸,
2020,NC,김태군,포수,9,신규,고졸,
2020,NC,박석민,내야수,4,재자격,고졸,
2020,KT,유한준,외야수,4,재자격,고졸,
2020,KIA,김선빈,내야수,9,신규,고졸,
2020,KIA,안치홍,내야수,9,신규,고졸,
2020,삼성,손주인,내야수,9,자격유지,고졸,
2020,한화,윤규진,투수,9,신규,고졸,
2020,한화,정우람,투수,4,재자격,고졸,
2020,한화,김태균,내야수,4,재자격,고졸,
2020,한화,이성열,내야수,4,재자격,고졸,
2020,롯데,고효준,투수,9,신규,고졸,
2020,롯데,손승락,투수,4,재자격,고졸,
2020,롯데,전준우,외야수,8,신규,대졸,
2021,두산,권혁,투수,4,재자격,고졸,B
2021,두산,유희관,투수,8,신규,대졸,A
2021,두산,이용찬,투수,9,신규,고졸,A
2021,두산,장원준,투수,4,자격유지,고졸,B
2021,두산,김재호,내야수,4,재자격,고졸,B
2021,두산,오재일,내야수,9,신규,고졸,A
2021,두산,최주환,내야수,9,신규,고졸,A
2021,두산,허경민,내야수,9,신규,고졸,A
2021,두산,정수빈,외야수,9,신규,고졸,A
2021,KT,유원산,투수,9,신규,고졸,C
2021,LG,차우찬,투수,4,재자격,고졸,B
2021,LG,김용의,내야수,8,신규,대졸,C
2021,LG,김현수,외야수,4,재자격,고졸,B
2021,키움,김상수,투수,9,신규,고졸,A
2021,KIA,양현종,투수,4,재자격,고졸,B
2021,KIA,나주환,외야수,4,자격유지,고졸,B
2021,KIA,최형우,외야수,4,재자격,고졸,B
2021,롯데,장원삼,투수,4,자격유지,고졸,B
2021,롯데,이대호,내야수,4,재자격,고졸,B
2021,삼성,우규민,투수,4,재자격,고졸,B
2021,삼성,이원석,내야수,4,재자격,고졸,B
2021,SK,김세현,투수,9,신규,고졸,B
2021,SK,박희수,투수,8,신규,대졸,C
2021,SK,윤석민,내야수,9,신규,고졸,C
2021,SK,김성현,내야수,9,신규,고졸,A
2022,KT,장성우,포수,9,신규,35세 이상 대졸,B
2022,KT,허도환,포수,8,신규,고졸,C
2022,KT,황재균,내야수,4,재자격,고졸,B
2022,두산,장원준,투수,4,자격유지,고졸,B
2022,두산,김재환,외야수,9,신규,고졸,A
2022,두산,박건우,외야수,9,신규,고졸,A
2022,삼성,백정현,투수,9,신규,고졸,B
2022,삼성,강민호,포수,4,재자격,3번째 FA,C
2022,삼성,오선진,내야수,9,신규,고졸,C
2022,삼성,박해민,외야수,8,신규,대졸,A
2022,LG,서건창,내야수,9,신규,고졸,A
2022,LG,김현수,외야수,4,자격유지,고졸,B
2022,키움,박병호,내야수,4,신규,35세 이상 해외복귀,C
2022,NC,나성범,외야수,8,신규,대졸,A
2022,롯데,정훈,내야수,9,신규,고졸,C
2022,롯데,민병헌,외야수,4,재자격,고졸,B
2022,롯데,손아섭,외야수,4,재자격,고졸,B
2022,KIA,나지완,외야수,4,재자격,고졸,B
2022,한화,최재훈,포수,9,신규,고졸,B
2023,SSG,박종훈,투수,8,신규,고졸,A
2023,SSG,이태양,투수,8,신규,고졸,C
2023,SSG,오태곤,내야수,8,신규,고졸,C
2023,SSG,한유섬,외야수,7,신규,대졸,A
2023,SSG,이재원,포수,4,재자격,고졸,B
2023,SSG,최정,내야수,4,재자격,3번째 FA,C
2023,키움,정찬헌,투수,8,신규,고졸,B
2023,키움,한현희,투수,9,신규,고졸,A
2023,LG,김진성,투수,8,신규,35세 이상,C
2023,LG,임찬규,투수,8,신규,고졸,B
2023,LG,유강남,포수,8,신규,고졸,A
2023,LG,채은성,내야수,8,신규,고졸,A
2023,LG,서건창,내야수,10,자격유지,22년 A등급,A
2023,KT,전유수,투수,9,신규,35세 이상,C
2023,KT,신본기,내야수,7,신규,대졸,C
2023,KT,심우준,내야수,8,신규,고졸,B
2023,KT,안영명,투수,4,재자격,고졸,B
2023,KT,박경수,내야수,4,재자격,3번째 FA,C
2023,KIA,박동원,포수,9,신규,고졸,A
2023,KIA,고종욱,외야수,8,신규,고졸,C
2023,KIA,나지완,외야수,4,자격유지,고졸,B
2023,NC,심창민,투수,8,신규,고졸,A
2023,NC,이재학,투수,9,신규,고졸,B
2023,NC,원종현,투수,8,신규,35세 이상,C
2023,NC,노진혁,내야수,7,신규,대졸,B
2023,NC,박민우,내야수,9,신규,고졸,A
2023,NC,권희동,외야수,7,신규,대졸,B
2023,NC,이명기,외야수,9,신규,35세 이상,C
2023,NC,양의지,포수,4,재자격,고졸,B
2023,삼성,김대우,투수,7,신규,대졸,C
2023,삼성,김헌곤,외야수,7,신규,대졸,B
2023,삼성,구자욱,외야수,8,신규,고졸,A
2023,삼성,오선진,내야수,9,자격유지,22년 C등급,C
2023,삼성,김상수,내야수,4,재자격,고졸,B
2023,롯데,강윤구,투수,8,신규,고졸,C
2023,두산,임창민,투수,8,신규,35세 이상 대졸,C
2023,두산,박세혁,포수,7,신규,대졸,A
2023,두산,장원준,투수,4,자격유지,고졸,B
2023,두산,이현승,투수,4,재자격,고졸,B
2023,한화,장시환,투수,9,신규,35세 이상,C
2024,LG,임찬규,투수,9,자격유지,23년 B등급,B
2024,LG,함덕주,투수,8,신규,고졸,B
2024,LG,김민성,내야수,4,재자격,2번째 FA,B
2024,LG,서건창,내야수,10,자격유지,23년 A등급,B
2024,LG,오지환,내야수,4,재자격,2번째 FA,B
2024,KT,김재윤,투수,8,신규,고졸,B
2024,KT,주권,투수,8,신규,고졸,A
2024,KT,박경수,내야수,5,자격유지,3번째 FA,C
2024,SSG,문승원,투수,7,신규,대졸,A
2024,SSG,박종훈,투수,8,자격유지,23년 A등급,B
2024,SSG,김민식,포수,7,신규,대졸,C
2024,SSG,이재원,포수,4,자격유지,2번째 FA,B
2024,SSG,최정,내야수,5,자격유지,3번째 FA,C
2024,SSG,한유섬,외야수,8,자격유지,23년 A등급,A
2024,NC,심창민,투수,8,자격유지,23년 A등급,A
2024,두산,장원준,투수,5,자격유지,2번째 FA,B
2024,두산,홍건희,투수,8,신규,고졸,A
2024,두산,양석환,내야수,7,신규,대졸,A
2024,KIA,김태군,포수,4,재자격,2번째 FA,B
2024,KIA,김선빈,내야수,4,재자격,2번째 FA,B
2024,KIA,고종욱,외야수,9,자격유지,고졸,C
2024,롯데,박세웅,투수,8,신규,고졸,A
2024,롯데,신정락,투수,7,신규,신규 35세 대졸,C
2024,롯데,안치홍,내야수,4,재자격,2번째 FA,B
2024,롯데,전준우,내야수,4,재자격,2번째 FA,B
2024,삼성,김대우,투수,8,자격유지,신규 35세 23년 C등급,C
2024,삼성,오승환,투수,4,신규,신규 35세 해외 복귀,C
2024,삼성,강한울,내야수,7,신규,대졸,C
2024,삼성,김헌곤,외야수,7,자격유지,신규 35세 23년 C등급,C
2024,삼성,구자욱,외야수,9,자격유지,23년 A등급,A
2024,한화,장민재,투수,8,신규,고졸,C
